Artist Full Name,Art Title,Art Location Name,Art Location Street Address,Art Location City,Art Location State,Art Location Zip,Images,Web Detail Page,Location
Ann M.Adams,Big Chiller Blues,Austin Convention Center Parking Garage/Chiller Tower,5th Street and Sabine Street;,Austin,TX,78701,http://assets.austintexas.gov/aipp/images/pic2005_003_1.jpg;http://assets.austintexas.gov/aipp/images/pic2005_003_2.jpg;http://assets.austintexas.gov/aipp/images/pic2005_003_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=504 ,"5th Street and Sabine Street;
Austin, TX 78701
(30.265255505104278, -97.73647200312456)"
Rene Anguiano,Dawn to Dusk,Eustasio Cepeda Branch,651 North Pleasant Valley  Rd.;,Austin,TX,78702,http://assets.austintexas.gov/aipp/images/pic1998_004.jpg;http://assets.austintexas.gov/aipp/images/pic1998_004_2.jpg;http://assets.austintexas.gov/aipp/images/pic1998_004_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=132 ,"651 North Pleasant Valley Rd.;
Austin, TX 78702
(30.25976964072555, -97.70959126766877)"
Joe Arellano,The Children are the Future,Holly Street Power Plant,2400 Holly St.;,Austin,TX,78702,http://assets.austintexas.gov/aipp/images/pic1991_003.jpg,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=99 ,"2400 Holly St.;
Austin, TX 78702
(30.25158178209171, -97.72072545231359)"
Tre Arenz,Wall of Hands,St. Elmo Service Center,4411 Meinardus Road;,Austin,TX,78744,http://assets.austintexas.gov/aipp/images/pic1994_001.jpg;http://assets.austintexas.gov/aipp/images/pic1994_001_2.jpg;http://assets.austintexas.gov/aipp/images/pic1994_001_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=110 ,"4411 Meinardus Road;
Austin, TX 78744
(30.210783569789555, -97.75245295558523)"
Tre Arenz,Untitled,North Austin Police Substation,12400 Lamplight Village Ave.;,Austin,TX,78727,http://assets.austintexas.gov/aipp/images/pic1994_011.jpg,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=114 ,"12400 Lamplight Village Ave.;
Austin, TX 78727
(30.41594458828731, -97.69589651948735)"
Connie Arismendi,Rayo de Esperanza - A Beacon of Hope: Sculpture; Community Kiosk; Benches,Terrazas Branch Library,1105 E. Cesar Chavez Street;,Austin,TX,78702,http://assets.austintexas.gov/aipp/images/pic2009_001_1.jpg;http://assets.austintexas.gov/aipp/images/pic2009_001_2.jpg;http://assets.austintexas.gov/aipp/images/pic2009_001_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=513 ,"1105 E. Cesar Chavez Street;
Austin, TX 78702
(30.260024534650952, -97.73317439552804)"
Connie Arismendi,Trail of Tejano Legends: ¡Estamos en Tejas!,Town Lake Hike and Bike Trail (Trail of Tejano Legends),Roy Montelongo Scenic Overlook; Canterbury St and Pleasant Valley Rd,Austin,TX,78702,http://assets.austintexas.gov/aipp/images/pic2008_003_1.jpg;http://assets.austintexas.gov/aipp/images/pic2008_003_2.jpg;http://assets.austintexas.gov/aipp/images/pic2008_003_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=516 ,"Roy Montelongo Scenic Overlook; Canterbury St and Pleasant Valley Rd
Austin, TX 78702
(30.265009999611948, -97.71688999987344)"
Connie Arismendi,El futuro es una página en blanco. ¿Qué escribirás en ella?,Terrazas Branch Library,1105 E. Cesar Chavez Street;,Austin,TX,78702,http://assets.austintexas.gov/aipp/images/pic2006_002_1.jpg;http://assets.austintexas.gov/aipp/images/pic2006_002_2.jpg;http://assets.austintexas.gov/aipp/images/pic2006_002_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=506 ,"1105 E. Cesar Chavez Street;
Austin, TX 78702
(30.260024534650952, -97.73317439552804)"
Connie Arismendi,Trail of Tejano Legends: Una Canción de Fe Y Familia,Mexican American Cultural Center,600 River Street;,Austin,TX,78701,http://assets.austintexas.gov/aipp/images/pic2008_007_1.jpg;http://assets.austintexas.gov/aipp/images/pic2008_007_2.jpg;http://assets.austintexas.gov/aipp/images/pic2008_007_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=514 ,"600 River Street;
Austin, TX 78701
(30.25799797632783, -97.73958365734592)"
Connie Arismendi,Trail of Tejano Legends: Tenderly,Town Lake Hike and Bike Trail (Trail of Tejano Legends),Festival Beach Park along the; Nash Hernandez Sr. Road ,Austin,TX,78702,http://assets.austintexas.gov/aipp/images/pic2008_004_1.jpg;http://assets.austintexas.gov/aipp/images/pic2008_004_2.jpg;http://assets.austintexas.gov/aipp/images/pic2008_004_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=515 ,"Festival Beach Park along the; Nash Hernandez Sr. Road
Austin, TX 78702
(30.265009999611948, -97.71688999987344)"
Twyla Arthur,Autumn Ponds,Palmer Event Center,900 Barton Springs Road;,Austin,TX,,http://assets.austintexas.gov/aipp/images/pic2002_003_1.jpg;http://assets.austintexas.gov/aipp/images/pic2002_003_2.jpg;http://assets.austintexas.gov/aipp/images/pic2002_003_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=191 ,"900 Barton Springs Road;
Austin, TX
(30.25976064750523, -97.753981803035)"
Twyla Arthur,Celebrating Traditions,Springdale Park,Webberville Road;,Austin,TX,,http://assets.austintexas.gov/aipp/images/pic2002_007_1.jpg;http://assets.austintexas.gov/aipp/images/pic2002_007_2.jpg;http://assets.austintexas.gov/aipp/images/pic2002_007_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=197 ,"Webberville Road;
Austin, TX
(30.263196057657183, -97.71330097103964)"
Kathleen Ash,Read More Books,North Village Branch Library,2505 Steck Ave.;,Austin,TX,78757,http://assets.austintexas.gov/aipp/images/pic2009_002_1.jpg;http://assets.austintexas.gov/aipp/images/pic2009_002_2.jpg;http://assets.austintexas.gov/aipp/images/pic2009_002_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=519 ,"2505 Steck Ave.;
Austin, TX 78757
(30.36249919613249, -97.73069835569646)"
Kathleen Ash,Big Snake,Austin Nature & Science Center ,301 Nature Center Dr.;,Austin,TX,78746,http://assets.austintexas.gov/aipp/images/pic1997_016.jpg;http://assets.austintexas.gov/aipp/images/pic1997_016_2.gif;http://assets.austintexas.gov/aipp/images/pic1997_016_3.gif;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=128 ,"301 Nature Center Dr.;
Austin, TX 78746
(30.272315183034266, -97.77514285038444)"
Kathleen Ash,Sea of Knowledge,North Village Branch Library,2505 Steck Ave.;,Austin,TX,78757,http://assets.austintexas.gov/aipp/images/pic2009_003_1.jpg;http://assets.austintexas.gov/aipp/images/pic2009_003_2.jpg;http://assets.austintexas.gov/aipp/images/pic2009_003_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=520 ,"2505 Steck Ave.;
Austin, TX 78757
(30.36249919613249, -97.73069835569646)"
Jerolyn Bahm-Colombik,La Fuente en Calle Segundo,2nd Street District  ,2nd Street & San Antonio;,Austin,TX ,78701,http://assets.austintexas.gov/aipp/images/pic2010_002_1.jpg;http://assets.austintexas.gov/aipp/images/pic0000_002_2.jpg;http://assets.austintexas.gov/aipp/images/pic0000_002_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=529 ,"2nd Street &amp; San Antonio;
Austin, TX 78701
(30.269920000307934, -97.74332000011776)"
Dayna Beard-Isensee,Flights of Fancy,Yarborough Branch,2200 Hancock Dr.;,Austin,TX,78756,http://assets.austintexas.gov/aipp/images/pic1998_005.jpg;http://assets.austintexas.gov/aipp/images/pic1998_005_2.jpg;http://assets.austintexas.gov/aipp/images/pic1998_005_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=133 ,"2200 Hancock Dr.;
Austin, TX 78756
(30.323072918367984, -97.74093264038987)"
Jill Bedgood ,Reality * Texas * Mythology,Austin-Bergstrom International Airport,3600 Presidential Blvd.;,Austin,TX,78719,http://assets.austintexas.gov/aipp/images/pic1999_004_1.jpg;http://assets.austintexas.gov/aipp/images/pic1999_004_2.jpg;http://assets.austintexas.gov/aipp/images/pic1999_004_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=137 ,"3600 Presidential Blvd.;
Austin, TX 78719
(30.202653698644724, -97.66544354925043)"
Jill Bedgood ,Texas Botanicals,Austin Convention Center,500 East Cesar Chavez St.;,Austin,TX,78701,http://assets.austintexas.gov/aipp/images/pic1997_002_1.jpg;http://assets.austintexas.gov/aipp/images/pic1997_002_2.jpg;http://assets.austintexas.gov/aipp/images/pic1997_002_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=125 ,"500 East Cesar Chavez St.;
Austin, TX 78701
(30.26473389832728, -97.74923338272032)"
Jill Bedgood ,Phantom Ship,Zilker Park,2201 Barton Springs Rd.;,Austin,TX,78746,http://assets.austintexas.gov/aipp/images/pic1991_002_01.jpg;http://assets.austintexas.gov/aipp/images/pic1991_002_02.jpg;http://assets.austintexas.gov/aipp/images/pic1991_002_03.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=98 ,"2201 Barton Springs Rd.;
Austin, TX 78746
(30.265983955948002, -97.76862276567203)"
Jill Bedgood ,Community Quilt,South Austin Senior Activity Center ,3911 Manchaca Rd.;,Austin,TX,78704,http://assets.austintexas.gov/aipp/images/pic1995_003.jpg,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=117 ,"3911 Manchaca Rd.;
Austin, TX 78704
(30.23392312560344, -97.78565592490696)"
Roberto Behar ,Open Room Austin,Sand Beach Park,;,Austin,TX,78701,http://assets.austintexas.gov/aipp/images/pic0000_001_1.jpg;http://assets.austintexas.gov/aipp/images/pic0000_001_2.jpg;http://assets.austintexas.gov/aipp/images/pic0000_001_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=526 ,";
Austin, TX 78701
(30.25604476813926, -97.73717840179187)"
Nan StandishBlake,Connected,Health and Human Services Administration,7201 Levander Loop;,Austin,TX,78702,http://assets.austintexas.gov/aipp/images/connected_blake.jpg,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=212 ,"7201 Levander Loop;
Austin, TX 78702
(30.252912715050357, -97.69302633905961)"
Paul Bond,Reading Between the Lions,Windsor Park Branch,5801 Westminster Dr.;,Austin,TX,78723,http://assets.austintexas.gov/aipp/images/pic2000_001_1.jpg;http://assets.austintexas.gov/aipp/images/pic2000_001_2.jpg;http://assets.austintexas.gov/aipp/images/pic2000_001_3.jpg;,http://www.austintexas.gov/aipp/aipp_detail.cfm?art=144 ,"5801 Westminster Dr.;
Austin, TX 78723
(30.311966291306135, -97.69066053895199)"
